create table scr_Lectura (
	ID_Lectura INT,
	ID_Usuario INT,
	ID_Comic INT,
	ID_Capitulo INT,
	Tiempo_lectura INT,
	Fecha_subida DATE,
	Ultima_pagina_vista INT,
	Tiempo_ID_tiempo INT
);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (65, 14, 8, 97, 62, '08/04/2025', 60, 13);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (62, 21, 39, 96, 52, '09/08/2024', 6, 42);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (36, 48, 55, 28, 80, '17/07/2024', 47, 97);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (47, 47, 7, 38, 24, '08/07/2024', 15, 65);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (11, 57, 10, 92, 78, '12/10/2024', 68, 45);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (75, 30, 6, 67, 73, '12/08/2024', 31, 32);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (52, 61, 29, 61, 53, '13/03/2025', 79, 12);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (22, 72, 16, 96, 72, '12/09/2024', 17, 59);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (90, 31, 73, 2, 8, '15/09/2024', 58, 53);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (23, 25, 43, 26, 54, '17/06/2025', 32, 65);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (9, 75, 2, 7, 25, '29/03/2025', 46, 93);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (32, 44, 96, 48, 86, '23/07/2024', 44, 58);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (41, 77, 38, 5, 81, '11/09/2024', 45, 29);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (61, 79, 22, 67, 98, '24/06/2025', 80, 6);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (15, 10, 88, 92, 9, '29/09/2024', 99, 81);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (39, 96, 25, 53, 4, '14/09/2024', 72, 15);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (61, 20, 85, 6, 6, '21/08/2024', 1, 83);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (23, 75, 98, 39, 7, '20/05/2025', 45, 57);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (16, 77, 33, 79, 97, '06/11/2024', 56, 2);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (15, 55, 13, 25, 32, '30/04/2025', 47, 62);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (67, 51, 98, 27, 35, '15/06/2025', 3, 78);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (12, 98, 21, 43, 45, '07/05/2025', 45, 94);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (14, 42, 100, 11, 55, '01/01/2025', 22, 82);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (41, 88, 96, 77, 37, '09/12/2024', 60, 51);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (51, 84, 81, 34, 85, '21/11/2024', 100, 4);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (40, 36, 2, 30, 67, '24/07/2024', 45, 46);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (26, 7, 88, 53, 55, '14/06/2025', 15, 84);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (2, 40, 17, 10, 63, '10/04/2025', 66, 57);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (52, 78, 48, 96, 23, '28/03/2025', 59, 36);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (13, 96, 13, 62, 28, '03/12/2024', 66, 55);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (5, 57, 68, 19, 67, '18/06/2025', 23, 16);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (30, 14, 76, 80, 53, '25/08/2024', 53, 60);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (57, 57, 4, 13, 38, '20/04/2025', 34, 11);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (18, 85, 79, 32, 92, '09/07/2024', 29, 99);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (99, 91, 4, 24, 28, '20/09/2024', 21, 36);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (19, 77, 54, 13, 15, '21/10/2024', 53, 7);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (5, 52, 56, 73, 16, '12/06/2025', 97, 42);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (52, 3, 97, 9, 9, '07/05/2025', 90, 50);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (20, 12, 87, 56, 27, '27/01/2025', 87, 83);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (27, 52, 47, 67, 91, '14/05/2025', 61, 23);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (18, 85, 90, 86, 96, '23/06/2025', 96, 79);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (13, 61, 49, 42, 80, '03/03/2025', 93, 100);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (62, 64, 61, 20, 80, '13/07/2024', 3, 22);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (21, 85, 24, 68, 38, '22/03/2025', 95, 49);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (8, 26, 33, 15, 49, '05/07/2024', 6, 80);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (48, 93, 100, 15, 60, '22/03/2025', 6, 87);
